model,k,task_type,score_WithCorr,score_NoCorr,difference
qwen-2.5-coder-32b-instruct,4,implicit_standard,0.67,0.57,0.1
gpt-oss-20b,4,implicit_standard,0.6325,0.575,0.0575
qwen3-30b-a3b-thinking-2507,4,implicit_standard,0.765,0.7175,0.0475
gemma-3-12b-it,4,implicit_standard,0.4575,0.43,0.0275
qwen3-30b-a3b,4,implicit_standard,0.5525,0.525,0.0275
claude-sonnet-4,4,implicit_standard,0.7475,0.73,0.0175
gemini-2-5-flash,4,implicit_standard,0.79,0.7744,0.0156
qwen3-coder-30b-a3b-instruct,4,implicit_standard,0.46,0.445,0.015
gemma-3-4b-it,4,implicit_standard,0.2375,0.225,0.0125
gpt-5-nano,4,implicit_standard,0.4975,0.49,0.0075
gemma-3-27b-it,4,implicit_standard,0.5075,0.5025,0.005
qwen3-235b-a22b-2507,4,implicit_standard,0.735,0.73,0.005
kimi-k2-0905,4,implicit_standard,0.5725,0.57,0.0025
gpt-oss-120b,4,implicit_standard,0.62,0.62,0.0
gpt-4.1-mini,4,implicit_standard,0.5675,0.57,-0.0025
qwen3-235b-a22b-thinking-2507,4,implicit_standard,0.28,0.285,-0.005
qwen3-coder,4,implicit_standard,0.5475,0.555,-0.0075
gemini-2.5-pro,4,implicit_standard,0.885,0.895,-0.01
grok-code-fast-1,4,implicit_standard,0.665,0.6775,-0.0125
gemini-2-5-flash,2,explicit_cot,0.685,0.6065,0.0785
gemma-3-12b-it,2,explicit_cot,0.43,0.3675,0.0625
gpt-oss-120b,2,explicit_cot,0.5,0.4525,0.0475
qwen3-coder,2,explicit_cot,0.6225,0.5775,0.045
gemma-3-27b-it,2,explicit_cot,0.59,0.545,0.045
gpt-5-nano,2,explicit_cot,0.105,0.0625,0.0425
gpt-oss-20b,2,explicit_cot,0.4125,0.3825,0.03
gemini-2.5-pro,2,explicit_cot,0.82,0.8,0.02
qwen3-235b-a22b-thinking-2507,2,explicit_cot,0.2275,0.2125,0.015
qwen3-coder-30b-a3b-instruct,2,explicit_cot,0.38,0.375,0.005
claude-sonnet-4,2,explicit_cot,0.8125,0.8075,0.005
grok-code-fast-1,2,explicit_cot,0.75,0.7525,-0.0025
qwen3-235b-a22b-2507,2,explicit_cot,0.6875,0.695,-0.0075
qwen-2.5-coder-32b-instruct,2,explicit_cot,0.7025,0.7125,-0.01
gemma-3-4b-it,2,explicit_cot,0.3175,0.3375,-0.02
gpt-4.1-mini,2,explicit_cot,0.495,0.515,-0.02
qwen3-30b-a3b-thinking-2507,2,explicit_cot,0.565,0.5925,-0.0275
kimi-k2-0905,2,explicit_cot,0.4775,0.5075,-0.03
qwen3-30b-a3b,2,explicit_cot,0.5925,0.635,-0.0425
qwen-2.5-coder-32b-instruct,2,explicit_standard,0.6275,0.3975,0.23
gpt-oss-20b,2,explicit_standard,0.385,0.3325,0.0525
gemma-3-27b-it,2,explicit_standard,0.4425,0.3975,0.045
qwen3-coder-30b-a3b-instruct,2,explicit_standard,0.29,0.2625,0.0275
kimi-k2-0905,2,explicit_standard,0.3375,0.3125,0.025
gpt-oss-120b,2,explicit_standard,0.4,0.3825,0.0175
grok-code-fast-1,2,explicit_standard,0.75,0.7325,0.0175
gemma-3-4b-it,2,explicit_standard,0.265,0.25,0.015
qwen3-30b-a3b-thinking-2507,2,explicit_standard,0.535,0.52,0.015
qwen3-235b-a22b-2507,2,explicit_standard,0.6525,0.655,-0.0025
claude-sonnet-4,2,explicit_standard,0.7,0.715,-0.015
gpt-5-nano,2,explicit_standard,0.055,0.075,-0.02
gemma-3-12b-it,2,explicit_standard,0.3075,0.3275,-0.02
gemini-2-5-flash,2,explicit_standard,0.7025,0.7225,-0.02
gemini-2.5-pro,2,explicit_standard,0.815,0.84,-0.025
qwen3-coder,2,explicit_standard,0.4825,0.5175,-0.035
gpt-4.1-mini,2,explicit_standard,0.435,0.4775,-0.0425
qwen3-235b-a22b-thinking-2507,2,explicit_standard,0.1775,0.22,-0.0425
qwen3-30b-a3b,2,explicit_standard,0.55,0.595,-0.045
qwen3-coder,2,implicit_cot,0.755,0.71,0.045
gemma-3-27b-it,2,implicit_cot,0.725,0.6925,0.0325
qwen3-235b-a22b-2507,2,implicit_cot,0.88,0.85,0.03
qwen-2.5-coder-32b-instruct,2,implicit_cot,0.8375,0.81,0.0275
gpt-oss-20b,2,implicit_cot,0.7025,0.69,0.0125
qwen3-235b-a22b-thinking-2507,2,implicit_cot,0.4125,0.4,0.0125
gpt-oss-120b,2,implicit_cot,0.73,0.7175,0.0125
claude-sonnet-4,2,implicit_cot,0.89,0.88,0.01
grok-code-fast-1,2,implicit_cot,0.8075,0.8,0.0075
gemini-2.5-pro,2,implicit_cot,0.95,0.9475,0.0025
kimi-k2-0905,2,implicit_cot,0.76,0.76,0.0
qwen3-coder-30b-a3b-instruct,2,implicit_cot,0.6425,0.6425,0.0
qwen3-30b-a3b-thinking-2507,2,implicit_cot,0.85,0.855,-0.005
gpt-4.1-mini,2,implicit_cot,0.7875,0.7925,-0.005
gemma-3-12b-it,2,implicit_cot,0.63,0.6425,-0.0125
gemini-2-5-flash,2,implicit_cot,0.8575,0.8775,-0.02
gpt-5-nano,2,implicit_cot,0.635,0.6575,-0.0225
gemma-3-4b-it,2,implicit_cot,0.39,0.42,-0.03
qwen3-30b-a3b,2,implicit_cot,0.7325,0.775,-0.0425
qwen-2.5-coder-32b-instruct,2,implicit_standard,0.7875,0.68,0.1075
qwen3-30b-a3b-thinking-2507,2,implicit_standard,0.83,0.79,0.04
gemini-2-5-flash,2,implicit_standard,0.8725,0.8396,0.0329
claude-sonnet-4,2,implicit_standard,0.8275,0.795,0.0325
gpt-5-nano,2,implicit_standard,0.6275,0.595,0.0325
gemma-3-12b-it,2,implicit_standard,0.61,0.58,0.03
qwen3-coder-30b-a3b-instruct,2,implicit_standard,0.6125,0.5825,0.03
gemma-3-4b-it,2,implicit_standard,0.4225,0.3975,0.025
